,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
96,Brooklyn,North Side,40.714822906532014,-73.95880857587582,4.0,Vegetarian / Vegan Restaurant,American Restaurant,Restaurant,Pizza Place,Food Truck,Bakery,Mexican Restaurant,Fish & Chips Shop,Dumpling Restaurant,Falafel Restaurant
97,Brooklyn,South Side,40.71086147265064,-73.95800095153331,4.0,Deli / Bodega,American Restaurant,Burger Joint,Latin American Restaurant,Middle Eastern Restaurant,Pizza Place,Restaurant,Caribbean Restaurant,Greek Restaurant,Bagel Shop
99,Brooklyn,Fort Hamilton,40.61476812694226,-74.03197914537984,2.0,Pizza Place,Diner,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
100,Manhattan,Chinatown,40.71561842231432,-73.99427936255978,4.0,Deli / Bodega,Korean Restaurant,Bakery,Noodle House,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop
102,Manhattan,Inwood,40.86768396449915,-73.92121042203897,4.0,Diner,Thai Restaurant,American Restaurant,Latin American Restaurant,Deli / Bodega,Dumpling Restaurant,Chinese Restaurant,Sandwich Place,Mexican Restaurant,Café
103,Manhattan,Hamilton Heights,40.823604284811935,-73.94968791883366,3.0,Deli / Bodega,Bakery,Food Stand,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court
105,Manhattan,Central Harlem,40.81597606742414,-73.94321112603905,4.0,Deli / Bodega,Italian Restaurant,Fried Chicken Joint,Bakery,Southern / Soul Food Restaurant,Food,Donut Shop,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant
106,Manhattan,East Harlem,40.79224946663033,-73.94418223148524,4.0,Puerto Rican Restaurant,Donut Shop,Pizza Place,Food,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Wings Joint
108,Manhattan,Yorkville,40.775929849884875,-73.94711784471826,4.0,Pizza Place,Dumpling Restaurant,Italian Restaurant,Bagel Shop,Sushi Restaurant,Diner,Wings Joint,Food,Falafel Restaurant,Fast Food Restaurant
109,Manhattan,Lenox Hill,40.76811265828733,-73.9588596881376,4.0,American Restaurant,Chinese Restaurant,Greek Restaurant,Italian Restaurant,French Restaurant,Restaurant,Bagel Shop,Dumpling Restaurant,Arepa Restaurant,German Restaurant
110,Manhattan,Roosevelt Island,40.76215960576283,-73.94916769227953,4.0,Deli / Bodega,Greek Restaurant,Noodle House,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
111,Manhattan,Upper West Side,40.787657998534854,-73.97705923630603,4.0,American Restaurant,Café,Greek Restaurant,French Restaurant,Chinese Restaurant,Deli / Bodega,Bagel Shop,Bakery,Hawaiian Restaurant,Arepa Restaurant
112,Manhattan,Lincoln Square,40.77352888942166,-73.98533777001262,0.0,Bakery,Café,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
113,Manhattan,Clinton,40.75910089146212,-73.99611936309479,4.0,Restaurant,Breakfast Spot,Deli / Bodega,Café,Food,Sandwich Place,Asian Restaurant,Donut Shop,Dumpling Restaurant,Falafel Restaurant
114,Manhattan,Midtown,40.75469110270623,-73.98166882730304,4.0,Greek Restaurant,Japanese Restaurant,Sandwich Place,Chinese Restaurant,Mexican Restaurant,Mediterranean Restaurant,French Restaurant,Food Truck,Food Stand,Food Court
115,Manhattan,Murray Hill,40.748303077252174,-73.97833207924127,4.0,Korean Restaurant,Burger Joint,Bakery,Food Truck,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court
116,Manhattan,Chelsea,40.744034706747975,-74.00311633472813,4.0,Pizza Place,Vietnamese Restaurant,Tapas Restaurant,Italian Restaurant,New American Restaurant,Wings Joint,Food,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant
117,Manhattan,Greenwich Village,40.72693288536128,-73.99991402945902,4.0,Italian Restaurant,American Restaurant,Bagel Shop,Seafood Restaurant,Mexican Restaurant,Sushi Restaurant,Burger Joint,French Restaurant,Food Truck,Fried Chicken Joint
118,Manhattan,East Village,40.727846777270244,-73.98222616506416,4.0,American Restaurant,Chinese Restaurant,Vegetarian / Vegan Restaurant,Pizza Place,Restaurant,Bagel Shop,Filipino Restaurant,Mexican Restaurant,Fish & Chips Shop,Dumpling Restaurant
119,Manhattan,Lower East Side,40.71780674892765,-73.98089031999291,2.0,Pizza Place,Diner,Wings Joint,Food Court,Dumpling Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food
120,Manhattan,Tribeca,40.721521967443216,-74.01068328559087,4.0,American Restaurant,Food Truck,Restaurant,Poke Place,Steakhouse,Fried Chicken Joint,French Restaurant,Gastropub,Food Stand,Food Court
121,Manhattan,Little Italy,40.71932379395907,-73.99730467208073,4.0,Italian Restaurant,Hotpot Restaurant,Vietnamese Restaurant,Sandwich Place,Bagel Shop,Bakery,Malay Restaurant,Food Court,Falafel Restaurant,Fast Food Restaurant
